,userName,score,at,content
0,Pengguna Google,5,2026-06-04T19:06:36.000,bagus
1,Pengguna Google,4,2026-06-04T19:05:23.000,sangat baik
2,Pengguna Google,1,2026-06-04T19:04:48.000,terlalu banyak pelanggaran yang gak masuk akal
3,Pengguna Google,3,2026-06-04T19:04:06.000,apk ini memang seru tetapi ini tidak bisa u ntuk hp yang ram yang mohong cepat di atasi
4,Pengguna Google,4,2026-06-04T19:03:47.000,pengen sekali tiktok ini ganti warna like nya jadi rainbow biar asik sekaran udh GAK ASIK malas nyaa KNPA SIEH😭☹️🥹
5,Pengguna Google,5,2026-06-04T19:01:47.000,boleh ka kasi tau macam mana nak vn
6,Pengguna Google,5,2026-06-04T19:01:39.000,SEMOGA APLIKASI TIKTOK ORIGINAL INI BISA DIGUNAKAN DENGAN LANCAR DAN AMAN BUAT SCROLL BIAR ENAK DIPAKAI APLIKASI NYA SEMOGA GAK KELUAR2 DARI APLIKASI...DAN BISA DIGUNAKAN DI RAM 3/32 DAN PERBAIKI BUG KELUAR2 SENDIRI DARI APLIKASI MOHON DIPERBAIKI MIMIN TIKTOK🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
7,Pengguna Google,1,2026-06-04T19:00:02.000,gak bisa bikin akun
8,Pengguna Google,5,2026-06-04T18:56:28.000,Tiktok ini sangat bagus
9,Pengguna Google,2,2026-06-04T18:56:22.000,"udah main tiktok dari tahun 2019 dan gak pernah dapet fitur sticker gerak🫩, ikutin intruksi video orang juga gak berhasil, seluruh kenapan ge yga dapet fitur animasi sticker"
