userName,score,at,content
Pengguna Google,1,2026-05-31 15:06:05,"parah aplikasi apaan begini,masa Eror Mulu hadeeeh"
Pengguna Google,2,2026-05-31 13:26:18,🙏kartu WNWP Ari Iswanto kok gak idup lagi ya
Pengguna Google,1,2026-05-31 12:57:31,"Mau log in via aplikasi diarahin ke web coretax wkwkw. udah gitu gabisa di akses 😂. ""SITUS TIDAK DAPAT DIJANGKAU"". Lucu ya aplikasi pelayanan untuk masyarakat seburuk ini. 👎🏻"
Pengguna Google,1,2026-05-31 10:51:00,ribet
Pengguna Google,5,2026-05-31 00:41:31,Oke good
Pengguna Google,1,2026-05-30 14:47:16,"aplikasi setan ini ,semua aplikasi buatan negara gaada yang bener otak karupsii semua"
Pengguna Google,2,2026-05-30 13:58:48,Rata-rata apk pemerintah di konoha sampah semua👊😬
Pengguna Google,1,2026-05-30 07:47:08,"susah betul daftar coretex nyaa, malah tambah rumit sekarang jdi malas lapor² pajak, 3 jam bolak balik aja"
Pengguna Google,1,2026-05-30 03:28:10,aplikasi ribet rencana biar simpel tapi priteksinya seperti aplikasi menyimpan uang milyaran mau masuk lupa email nggak bisa diperbaiki
Pengguna Google,1,2026-05-30 02:31:39,ngabisin anggaran negara doang... kek sengaja dibuat susah biar banyakan yang kena denda... cuma mau bayar pajak/ngurus SPT doang aja dipersulit... percuma kebanyakan marketing hasilnya nihil
Pengguna Google,1,2026-05-30 00:52:08,kenapa harus pake pulsa pas ngirim kode otp nomor telpon ga sekalian aja apa pake duit 1juta gitu? udah mah penting tapi malah di bikin susah mau kerja harus punya NPWP definisi udah cari kerja susah ngerjain kaya ginian juga susah apa lagi yang harus susah coba? belom lagi bikin yang lain juga lama prosesnya bolak balik juga hedeh
Pengguna Google,1,2026-05-29 16:49:45,"daftar efin aja susahnya minta ampun, di indo sesusah ini anjir apa² padahal pake duit sendiri tapi susah bgtt"
Pengguna Google,5,2026-05-29 15:10:11,jalankan demi masa yang akan datang
Pengguna Google,5,2026-05-29 14:11:05,Poto berulang ulang...kok gagal terus sih.....tolong perbaiki....
Pengguna Google,1,2026-05-29 13:25:42,percuma pake aplikasi ini
