userName,score,at,content,label,clean_content
Pengguna Google,1,2026-05-31 15:06:05,"parah aplikasi apaan begini,masa Eror Mulu hadeeeh",Negatif,parah aplikasi apaan beginimasa eror mulu hadeeeh
Pengguna Google,2,2026-05-31 13:26:18,🙏kartu WNWP Ari Iswanto kok gak idup lagi ya,Negatif,kartu wnwp ari iswanto kok gak idup lagi ya
Pengguna Google,1,2026-05-31 12:57:31,"Mau log in via aplikasi diarahin ke web coretax wkwkw. udah gitu gabisa di akses 😂. ""SITUS TIDAK DAPAT DIJANGKAU"". Lucu ya aplikasi pelayanan untuk masyarakat seburuk ini. 👎🏻",Negatif,mau log in via aplikasi diarahin ke web coretax wkwkw udah gitu gabisa di akses situs tidak dapat dijangkau lucu ya aplikasi pelayanan untuk masyarakat seburuk ini
Pengguna Google,1,2026-05-31 10:51:00,ribet,Negatif,ribet
Pengguna Google,5,2026-05-31 00:41:31,Oke good,Positif,oke good
Pengguna Google,1,2026-05-30 14:47:16,"aplikasi setan ini ,semua aplikasi buatan negara gaada yang bener otak karupsii semua",Negatif,aplikasi setan ini semua aplikasi buatan negara gaada yang bener otak karupsii semua
Pengguna Google,2,2026-05-30 13:58:48,Rata-rata apk pemerintah di konoha sampah semua👊😬,Negatif,ratarata apk pemerintah di konoha sampah semua
Pengguna Google,1,2026-05-30 07:47:08,"susah betul daftar coretex nyaa, malah tambah rumit sekarang jdi malas lapor² pajak, 3 jam bolak balik aja",Negatif,susah betul daftar coretex nyaa malah tambah rumit sekarang jdi malas lapor pajak jam bolak balik aja
Pengguna Google,1,2026-05-30 03:28:10,aplikasi ribet rencana biar simpel tapi priteksinya seperti aplikasi menyimpan uang milyaran mau masuk lupa email nggak bisa diperbaiki,Negatif,aplikasi ribet rencana biar simpel tapi priteksinya seperti aplikasi menyimpan uang milyaran mau masuk lupa email nggak bisa diperbaiki
Pengguna Google,1,2026-05-30 02:31:39,ngabisin anggaran negara doang... kek sengaja dibuat susah biar banyakan yang kena denda... cuma mau bayar pajak/ngurus SPT doang aja dipersulit... percuma kebanyakan marketing hasilnya nihil,Negatif,ngabisin anggaran negara doang kek sengaja dibuat susah biar banyakan yang kena denda cuma mau bayar pajakngurus spt doang aja dipersulit percuma kebanyakan marketing hasilnya nihil
Pengguna Google,1,2026-05-30 00:52:08,kenapa harus pake pulsa pas ngirim kode otp nomor telpon ga sekalian aja apa pake duit 1juta gitu? udah mah penting tapi malah di bikin susah mau kerja harus punya NPWP definisi udah cari kerja susah ngerjain kaya ginian juga susah apa lagi yang harus susah coba? belom lagi bikin yang lain juga lama prosesnya bolak balik juga hedeh,Negatif,kenapa harus pake pulsa pas ngirim kode otp nomor telpon ga sekalian aja apa pake duit juta gitu udah mah penting tapi malah di bikin susah mau kerja harus punya npwp definisi udah cari kerja susah ngerjain kaya ginian juga susah apa lagi yang harus susah coba belom lagi bikin yang lain juga lama prosesnya bolak balik juga hedeh
Pengguna Google,1,2026-05-29 16:49:45,"daftar efin aja susahnya minta ampun, di indo sesusah ini anjir apa² padahal pake duit sendiri tapi susah bgtt",Negatif,daftar efin aja susahnya minta ampun di indo sesusah ini anjir apa padahal pake duit sendiri tapi susah bgtt
Pengguna Google,5,2026-05-29 15:10:11,jalankan demi masa yang akan datang,Positif,jalankan demi masa yang akan datang
Pengguna Google,5,2026-05-29 14:11:05,Poto berulang ulang...kok gagal terus sih.....tolong perbaiki....,Positif,poto berulang ulangkok gagal terus sihtolong perbaiki
Pengguna Google,1,2026-05-29 13:25:42,percuma pake aplikasi ini,Negatif,percuma pake aplikasi ini
Pengguna Google,1,2026-05-29 12:54:07,apl gak guna,Negatif,apl gak guna
Pengguna Google,1,2026-05-29 08:31:19,jelek nyaa banyak bug sama error engga jelas kaya di webnya,Negatif,jelek nyaa banyak bug sama error engga jelas kaya di webnya
Pengguna Google,1,2026-05-29 08:25:34,"aplikasi ter stress, coba siapapun yg bikin aplikasi nya dibenahi lagi!! btl2 gajelas bgtt ntah itu di web di aplikasi gaje bgtt, plenger final",Negatif,aplikasi ter stress coba siapapun yg bikin aplikasi nya dibenahi lagi btl gajelas bgtt ntah itu di web di aplikasi gaje bgtt plenger final
Pengguna Google,1,2026-05-29 06:33:10,ngabisin anggaran doang bkin website kek kntlll,Negatif,ngabisin anggaran doang bkin website kek kntlll
Pengguna Google,1,2026-05-29 02:02:39,gak guna sangat ribet. lebih nyaman pake e feling tapi cuma nyampe tahun 2024 taik lah sistem pajak,Negatif,gak guna sangat ribet lebih nyaman pake e feling tapi cuma nyampe tahun taik lah sistem pajak
Pengguna Google,1,2026-05-28 23:01:37,"payah banget, login susah, sekalinya masuk, logout sendiri..",Negatif,payah banget login susah sekalinya masuk logout sendiri
Pengguna Google,1,2026-05-28 16:58:44,20min 9,Negatif,min
Pengguna Google,1,2026-05-28 07:13:37,kartu npwpnya ga ada,Negatif,kartu npwpnya ga ada
Pengguna Google,1,2026-05-28 06:42:34,"aplikasi error terus...habis download malah masuk lagi ke browser..terus buat apa ada aplikasi nya...kalau bikin aplikasi mikir dulu, masa kalian di gaji pakai uang hasil keringat rakyat, kerja bikin aplikasi aja di persulit atau dipersusah tanpa adanya solusi...selamat atas bertambah nya dosa kalian",Negatif,aplikasi error terushabis download malah masuk lagi ke browserterus buat apa ada aplikasi nyakalau bikin aplikasi mikir dulu masa kalian di gaji pakai uang hasil keringat rakyat kerja bikin aplikasi aja di persulit atau dipersusah tanpa adanya solusiselamat atas bertambah nya dosa kalian
Pengguna Google,1,2026-05-27 14:49:13,"input pasword, captha dan id udah bener dianggap salah pasword dan mesti reset pasword giliran udah reset trus log in pasword udah bener, id bener, captcha bener pas log in malah langsung error aplikasi nya lol",Negatif,input pasword captha dan id udah bener dianggap salah pasword dan mesti reset pasword giliran udah reset trus log in pasword udah bener id bener captcha bener pas log in malah langsung error aplikasi nya lol
Pengguna Google,3,2026-05-27 00:22:24,"aku sudah pilih jenis pekerjaan tapi pas diverifikasi gaa bisa, gj banget",Negatif,aku sudah pilih jenis pekerjaan tapi pas diverifikasi gaa bisa gj banget
Pengguna Google,1,2026-05-26 19:46:20,"aplikasi biar ada aja, tolooool",Negatif,aplikasi biar ada aja tolooool
Pengguna Google,1,2026-05-26 16:24:13,"payah masa error 400 padahal jaringan baik, payah, sertifikat aktif, di aktivasi malah out.",Negatif,payah masa error padahal jaringan baik payah sertifikat aktif di aktivasi malah out
Pengguna Google,1,2026-05-26 14:41:16,gabisa masuk trs padahal pasword sama nomor npwp udah bner,Negatif,gabisa masuk trs padahal pasword sama nomor npwp udah bner
Pengguna Google,1,2026-05-26 09:28:40,busuk,Negatif,busuk
Pengguna Google,1,2026-05-26 04:56:19,aplikasi eror tidak jelas,Negatif,aplikasi eror tidak jelas
Pengguna Google,1,2026-05-26 03:36:54,aplikasinya jelek tolong diperbaiki lg! udh nunggu berjam jam ttep ga di verifikasi di nomor telepon,Negatif,aplikasinya jelek tolong diperbaiki lg udh nunggu berjam jam ttep ga di verifikasi di nomor telepon
Pengguna Google,1,2026-05-26 03:12:33,kok ada aplikasi yg gak guna kayak gini ya ???,Negatif,kok ada aplikasi yg gak guna kayak gini ya
Pengguna Google,1,2026-05-25 18:22:05,apk nya ada paok paOk nya,Negatif,apk nya ada paok paok nya
Pengguna Google,1,2026-05-25 16:39:26,buang2 biaya aplikasi gak guna,Negatif,buang biaya aplikasi gak guna
Pengguna Google,5,2026-05-25 15:29:08,Terima kasih Manajemen Aplikasi M - Pajak,Positif,terima kasih manajemen aplikasi m pajak
Pengguna Google,1,2026-05-25 11:09:19,APLIKASI PALING SUSAH DIGUNAKAN !!!,Negatif,aplikasi paling susah digunakan
Pengguna Google,1,2026-05-25 11:06:06,eror!!!,Negatif,eror
Pengguna Google,1,2026-05-25 10:15:19,jelek bgt.,Negatif,jelek bgt
Pengguna Google,2,2026-05-25 09:09:24,sampah,Negatif,sampah
Pengguna Google,5,2026-05-24 21:04:05,ok,Positif,ok
Pengguna Google,5,2026-05-24 14:16:13,baik,Positif,baik
Pengguna Google,1,2026-05-24 04:15:26,"aplikasi apa gabisa di gunakan padahal mau kerja penting malah banyak kali drama,email sama no hp pas yang terdaftar di djp tapi gabisa juga gabisa ter indifikasi apa cobak,lucu kali apk indonesia kalok gabisa buat gausah lah buat",Negatif,aplikasi apa gabisa di gunakan padahal mau kerja penting malah banyak kali dramaemail sama no hp pas yang terdaftar di djp tapi gabisa juga gabisa ter indifikasi apa cobaklucu kali apk indonesia kalok gabisa buat gausah lah buat
Pengguna Google,1,2026-05-24 03:45:23,mau daftar kendala kolom pekerjaan..aplikasi anying,Negatif,mau daftar kendala kolom pekerjaanaplikasi anying
Pengguna Google,1,2026-05-23 13:46:55,aneh,Negatif,aneh
Pengguna Google,1,2026-05-23 06:29:29,"ini gimana sihh aplikasi report bangtt pas tahap pendaftaran kirim nomor handphone pas minta otp SMS kaggk muncul"" lihat di WhatsApp kaggk ada lihat di pesan kaggk ada ihhh gini amatt pajakk mah gedee terus apa gehh udh download aplikasi daftarnya di arahin ke website amang"" pemerintah doang ini mahh pajak doang GEDEEE , kaggk kayak aplikasi Porli daftar gampang kaggk ribettt ini mahh ihhh",Negatif,ini gimana sihh aplikasi report bangtt pas tahap pendaftaran kirim nomor handphone pas minta otp sms kaggk muncul lihat di whatsapp kaggk ada lihat di pesan kaggk ada ihhh gini amatt pajakk mah gedee terus apa gehh udh download aplikasi daftarnya di arahin ke website amang pemerintah doang ini mahh pajak doang gedeee kaggk kayak aplikasi porli daftar gampang kaggk ribettt ini mahh ihhh
Pengguna Google,1,2026-05-23 05:53:11,aplikasi dongo,Negatif,aplikasi dongo
Pengguna Google,1,2026-05-23 01:28:39,kenapa slalu gagal terus yaa? aneh bgttt berkali2 nyoba ga bisa2,Negatif,kenapa slalu gagal terus yaa aneh bgttt berkali nyoba ga bisa
Pengguna Google,1,2026-05-22 04:20:53,aplikasi gagunaaaaaaaaaaa,Negatif,aplikasi gagunaaaaaaaaaaa
Pengguna Google,5,2026-05-21 22:39:10,good,Positif,good
Pengguna Google,5,2026-05-21 16:57:46,oke,Positif,oke
Pengguna Google,1,2026-05-21 15:46:32,gampang eror,Negatif,gampang eror
Pengguna Google,5,2026-05-21 10:00:27,bagus,Positif,bagus
Pengguna Google,1,2026-05-21 08:40:55,aplikasii goblokk,Negatif,aplikasii goblokk
Pengguna Google,1,2026-05-21 04:37:29,"sangat buruk,, bukanya mempermudah malah bikin emosi ,, begini amat jadi warga indo ,, banyakan di bug gak jelas mau daftar aja susah banget anjim",Negatif,sangat buruk bukanya mempermudah malah bikin emosi begini amat jadi warga indo banyakan di bug gak jelas mau daftar aja susah banget anjim
Pengguna Google,1,2026-05-20 21:20:23,aplikasi sampah bikinan pemerintah tolol daftar aja susah Alamat dimna geograif nya dimna tolol,Negatif,aplikasi sampah bikinan pemerintah tolol daftar aja susah alamat dimna geograif nya dimna tolol
Pengguna Google,1,2026-05-20 18:06:28,aplikasi pajak banyak penipuan menggunakan aplikasi pajak ini saya sudah kena hack 100juta lebih bosss,Negatif,aplikasi pajak banyak penipuan menggunakan aplikasi pajak ini saya sudah kena hack juta lebih bosss
Pengguna Google,1,2026-05-20 16:21:13,apk gak jelas udah buat apk masih masuk Google chrome situs pendaftaran npwp terlalu ribet gak jelas banyak bug,Negatif,apk gak jelas udah buat apk masih masuk google chrome situs pendaftaran npwp terlalu ribet gak jelas banyak bug
Pengguna Google,5,2026-05-20 10:49:15,ok,Positif,ok
Pengguna Google,1,2026-05-20 08:44:45,"login di apl malah keluar ke situs,udah login di situs ga bisa masuk ke apl",Negatif,login di apl malah keluar ke situsudah login di situs ga bisa masuk ke apl
Pengguna Google,5,2026-05-20 07:31:07,tolong diperbaiki untuk website coretax nya kadang bisa kadang gak bisa,Positif,tolong diperbaiki untuk website coretax nya kadang bisa kadang gak bisa
Pengguna Google,1,2026-05-20 06:20:16,aplikasi nya jelek amat sangat jelek.. saya suruh kirim bukti penerimaan elektronik data saya kok tidak dikirim kirim.. saya kecewa,Negatif,aplikasi nya jelek amat sangat jelek saya suruh kirim bukti penerimaan elektronik data saya kok tidak dikirim kirim saya kecewa
