userName,score,at,content,label
Pengguna Google,5,2026-06-01 03:17:05,bagus,Positif
Pengguna Google,1,2026-06-01 03:12:54,"kenapa setiap kali buat pin selalu ada notif ""kesalahan pemasangan pin"" tolong bantuannya. uang ku nyangkut udah lama ini",Negatif
Pengguna Google,5,2026-06-01 03:09:32,sangat membantu,Positif
Pengguna Google,5,2026-06-01 02:57:02,"oke, pengalaman pertama pakai gojek. sangat nyaman, drivernya ramah. terimakasih gojek.👍👍👍",Positif
Pengguna Google,5,2026-06-01 02:54:31,semoga kedepan promo lebih banyak,Positif
Pengguna Google,5,2026-06-01 02:39:54,murce di banding apk ojol lain worth,Positif
Pengguna Google,5,2026-06-01 02:35:29,aplikasi yg sangat membantu,Positif
Pengguna Google,5,2026-06-01 02:28:55,Cukup membantu bagi Masyarakat yang menggunakan app gojek,Positif
Pengguna Google,5,2026-06-01 02:24:27,"driver selalu 3S, aplikasi jg mudah digunakan dan dimengerti pengguna",Positif
Pengguna Google,1,2026-06-01 02:15:39,"aplikasi gaje mesen gojek pencet sekali doang malah kepesen 2 driver, ngerjain ojol aja kasian tau ga tolong dbenerin lah biaya jadi bayar dua kali kan, udah berapa kali ini kejadian kaya begini dialamin sama saya",Negatif
Pengguna Google,3,2026-06-01 02:12:53,halloo!! gmn ini gojek kok semakin lama semakin naik aja. pdhl saya pengguna lama lo. awal nya cmn 12rb. naik 17500. ckrg naik lgi 21rb. gk salah ta. pdhl tujuan sama.. gk bagus lm2 aplikasi ini.,Negatif
Pengguna Google,5,2026-06-01 02:02:26,"Pengalaman naik GOJEK bagi saya sangatlah bagus sekali. Karena banyak faktor hal yang bisa dijadikan alasan kenapa saya memilih GOJEK, termasuk yang paling utama sekali adalah karena GOJEK ini merupakan hasil buah pikiran serta karya dari Anak Bangsa Indonesia untuk membangun perekonomian Indonesia. Dan sudah seharus-nya kita yang mengatakan NKRI Harga Mati bangga menggunakan & Cinta dengan Produk & Hasil Karya Anak Bangsa 👍👍👍",Positif
Pengguna Google,1,2026-06-01 01:54:15,"di hp saya lag banget masa lagi lihat"" makanan kepencet beli dan ongkirnya mahal banget lagi dan ga bisa dibatalin, diaplikasi lain bisa disini kok ga bisa padahal masih beberapa detik dari pemesanan tolong perbaiki lagi ONGKIRNYA TERLALU MAHAL",Negatif
Pengguna Google,5,2026-06-01 01:40:16,sangat mmbantu,Positif
Pengguna Google,5,2026-06-01 01:38:59,"Sengaja ngasih bintang 5, biar ulasanku bisa direspon. nih semalam aku mau batalin langganan gojek plus, tapi nggak bisa, fitur isi alasannya nggak muncul. aku pindahin lah saldoku ke simpanan jago, dan aku cek pagi ini saldonya terpotong 😭😭😭😭😭. kyk dipaksa buat langganan. nggak terima, walaupun nominalnya nggak seberapa tetap aja merasa dirugikan 😠",Positif
Pengguna Google,1,2026-06-01 01:23:23,"gojek ini mengerikan, sama seperti menipu penumpang klu aplikasi sudah sesuai alamat tapi kok titiknya berbeda , kejadian tidak menyenangkan yang saya alami order tujuan sudah sesuai alamat dan alamat tsbt cmn ada 1 di surabaya sidomulyo sidotopo jl kenjeran, driver mengikuti map tujuan arah beda ditengah jalan saya disuruh rubah alamat tujuan lagi & berubah titik yg sesuai !!! harusnya kena tarif 37.500 tapi saya harus bayar 53.500 . !! brengsek jangan seperti ini lah aplikasi nipu customer !!",Negatif
Pengguna Google,5,2026-06-01 01:12:03,nyaman dan fraktis,Positif
Pengguna Google,1,2026-06-01 01:11:12,gofood lu kacau sekarang..dasar kapitalis..,Negatif
Pengguna Google,4,2026-06-01 01:06:12,buat driver nya bagus sama biayanya murah terjangkau lah buat anak sekolah yang uang nya pas' an,Positif
Pengguna Google,1,2026-06-01 00:47:24,apk gak jelas,Negatif
Pengguna Google,5,2026-06-01 00:07:57,"cepat,simpel dan mantab",Positif
Pengguna Google,5,2026-06-01 00:07:28,sangat memuaskan dari Aplikasi lain,Positif
Pengguna Google,5,2026-05-31 23:46:04,"Alhamdulillah selalu amanah,cepat",Positif
Pengguna Google,1,2026-05-31 23:20:54,udah di download gabisa dipake,Negatif
Pengguna Google,1,2026-05-31 22:04:21,"sekarang tarif nya mahal bgt, udh gitu titik nya ngaco, gampang bgt berubah, banyak driver nyaa yg alesan lgi makan mlu, ga lagi lagi pake gojek, kapokk",Negatif
Pengguna Google,5,2026-05-31 20:45:37,lancar jaya,Positif
Pengguna Google,5,2026-05-31 19:04:24,good,Positif
Pengguna Google,5,2026-05-31 18:53:45,good job,Positif
Pengguna Google,1,2026-05-31 18:48:10,aplikasi ter lelet yang pernah digunakan internet lancar buka apk ini lelet tenan cuk,Negatif
Pengguna Google,5,2026-05-31 18:47:21,Mantap dah,Positif
Pengguna Google,5,2026-05-31 18:25:53,memudahkan perjalanan,Positif
Pengguna Google,5,2026-05-31 18:09:15,mantap,Positif
Pengguna Google,5,2026-05-31 17:59:04,bermanfaat,Positif
Pengguna Google,1,2026-05-31 17:37:29,"gak ada pesan tiba² ada driver yg antar krmh, di aplikasi malah ada pesanan dalam proses, bug aplikasi nyusahin driver sama pelanggan",Negatif
Pengguna Google,5,2026-05-31 17:32:26,mantapppppp,Positif
Pengguna Google,5,2026-05-31 17:32:03,sangat mempermudah bagi orang yang tidak memeliki kendaraan,Positif
Pengguna Google,5,2026-05-31 17:18:41,"driver pada ramah semua, dan kadang ada yg cuek, rapi okee👍",Positif
Pengguna Google,5,2026-05-31 16:45:07,semoga lebih bermanfaat bagi pengguna dan mitra2nya,Positif
Pengguna Google,5,2026-05-31 16:36:05,Alhamdulillah selama ini terbantu dengan gojek,Positif
Pengguna Google,5,2026-05-31 16:15:12,"Aplikasi jasa paling membantu untuk kehidupan sehari hari,bisa antar jemput, membeli makanan, antar barang dan masih banyak lagi",Positif
Pengguna Google,1,2026-05-31 16:14:40,"waktu tunggu pencarian driver gofood hampir 1 jam. tidak bisa dibatalin, padahal keterangan menyebut dapur akan mempersiapkan makanan jika driver sudah didapatkan. waktu penyiapan makanan telat 22menit, belum waktu pengantaran. kebayang berapa lama customer menunggu. Jauh lebih baik aplikasi Grab.",Negatif
Pengguna Google,5,2026-05-31 16:05:48,ok,Positif
Pengguna Google,1,2026-05-31 16:05:31,"tolong ya itu driver2nya yang suka nutupin 2 digit plat nomor suka melakukan hal tidak menyenangkan dijalan, dan percuma buat pengaduan via email klo gak bisa diaduin",Negatif
Pengguna Google,1,2026-05-31 16:02:32,Jangan Mau mesan go Food disini datangnya 2 jam,Negatif
Pengguna Google,1,2026-05-31 15:46:12,"khusus makanan, JAUH SAMA SPFOOD, INI LELET, SUSAH CARI DRIVER dan LEBIH PRO SI SPFOOD",Negatif
Pengguna Google,4,2026-05-31 15:41:13,kadang kadang gak dapet ocol,Positif
Pengguna Google,1,2026-05-31 15:34:04,Banyak biaya aneh yang menguntungkan pihak aplikator. Driver dan Resto Hanya sebagai Sapi Perah.,Negatif
Pengguna Google,1,2026-05-31 15:27:06,infonya nih buat gocar dan godrive puncak cisarua. kalau kaga pada niat kerja.mending kaga usah kerja...gua nunggu nunggu pada diam d tempat kendaraannya...pada nunyul kah,Negatif
Pengguna Google,1,2026-05-31 15:22:06,aplikasi gojek ribet harus daftar dulu ga kaya aplikasi yg lain otomatis langsung masuk,Negatif
Pengguna Google,5,2026-05-31 15:21:54,ok,Positif
Pengguna Google,5,2026-05-31 15:16:36,cepat dalam melayani dan aplikasi ini sangat berguna bagi saya,Positif
Pengguna Google,5,2026-05-31 15:06:13,Go foward,Positif
Pengguna Google,5,2026-05-31 14:55:14,Alhamdulillah saya puas dengan layanan gojek y🙏,Positif
Pengguna Google,1,2026-05-31 14:45:51,jelek,Negatif
Pengguna Google,1,2026-05-31 14:31:09,tiap tiap pesen makanan atau goride dapet nya driver yg jauh Mulu padahal banyak driver yg Deket tapi dapet yg jauh Mulu yg estimasi nya 10-15 menit,Negatif
Pengguna Google,1,2026-05-31 14:12:10,"Saya kecewa dengan penanganan customer service Gojek. Saat saya melaporkan transaksi yang tidak saya kenali, saya justru diarahkan untuk mengurusnya sendiri ke pihak lain tanpa bantuan yang berarti. Sebagai pengguna, saya berharap Gojek dapat memberikan dukungan yang lebih jelas dan membantu menyelesaikan masalah, terutama ketika menyangkut kehilangan saldo dan keamanan transaksi.",Negatif
Pengguna Google,5,2026-05-31 13:58:18,"memudahkan, terimakasih",Positif
Pengguna Google,5,2026-05-31 13:51:53,Alhamdulillah dengan aplikasi Gojek saya yang tidak diizinkan menggunakan kendaraan sangat terbantu dan Alhamdulillah setiap hari ketemu orang² baik pejuang² rupiah dan yang paling pentingnya bisa bersedekah secara tidak langsung. 2 Anakkupun happy sekolah bersama Gojek. Sedikit saran atributnya di gratisin aja supaya bapak ibu driver lebih keren kalau pakai atribut yang bersih.,Positif
Pengguna Google,4,2026-05-31 13:19:53,ok deh,Positif
Pengguna Google,5,2026-05-31 13:19:05,so far so good🤗👍🤘🏻,Positif
Pengguna Google,5,2026-05-31 13:02:54,sangat praktis dan cepat,Positif
Pengguna Google,5,2026-05-31 12:51:14,mantaffff,Positif
Pengguna Google,1,2026-05-31 12:38:48,"Banyak driver Gojek di area Yogyakarta tidak pasang plat nomer di motor nya, alasannya platnya copot lah..., jatoh lah...😩",Negatif
Pengguna Google,5,2026-05-31 12:18:34,ok,Positif
Pengguna Google,1,2026-05-31 12:14:32,sering ga dapet driver buat gofood,Negatif
Pengguna Google,3,2026-05-31 12:11:25,"Teruntuk Gojek, mohon dengan sangat di perhatikan, di area sekitar terpantau banyak driver nunggu orderan, tapi kenapa saya order membutuhkan waktu lama ? dan sekalinya dapat, posisinya jauh sangat dari titik penjemputan.",Negatif
Pengguna Google,1,2026-05-31 12:10:03,"Coba di bantu untk Aplikasi, dengan nasabah gojek pinjam ingin Melakukan pelunasan kok tidak di respon... Dibantu untk katanya diskon pembayaran Katanya mau di bayarinn tapi mau di bayar ga ada bantuannya",Negatif
Pengguna Google,5,2026-05-31 12:06:54,"jujur baru sekarang kecewa sama driver gocar, 3 kali dpt driver tapi malah pada gk jalan gara2 jauh perjalanan, padahal aku gk pesen yg hemat, tolong dong buat driver2 klo misal gk mau y jangan di ambil bukan malah nawar harga yg ga masuk akal!!!",Positif
Pengguna Google,5,2026-05-31 12:05:51,membantu bagi para pengelana di kota2 orang makasih🙏,Positif
Pengguna Google,5,2026-05-31 12:00:34,bagus sih hanya di chatnya gak privasi soalnya ada aja yang chat sembarangan,Positif
Pengguna Google,5,2026-05-31 11:58:26,Terbaik,Positif
Pengguna Google,5,2026-05-31 11:44:08,Cepat dan responsif,Positif
Pengguna Google,1,2026-05-31 11:39:41,menurut saya pilihan anda untuk customer tidak bisa cancel adalah pilhan yang CERDAS..... sedangkan driver dan resto dapat mengcancel kapan saja semau mereka ditambah ini ada resto yang tutup tapi diaplikasi buka driver enggan/ tidak bisa cancel resto tidak bisa dikabari dan customer hanya bisa pasrah menunggu 30 menit bahkan lebih untuk bisa cancel dan pengembalian dana lagi dan lagi KECEWA,Negatif
Pengguna Google,5,2026-05-31 11:20:34,sangat membantu,Positif
Pengguna Google,4,2026-05-31 11:10:05,Good,Positif
Pengguna Google,5,2026-05-31 10:10:35,mantaap,Positif
Pengguna Google,5,2026-05-31 10:06:01,Tetap berkarya,Positif
Pengguna Google,5,2026-05-31 10:03:26,Pelayanan nya cepat..,Positif
