userName,score,at,content,label,clean_content
Pengguna Google,5,2026-06-01 03:17:05,bagus,Positif,bagus
Pengguna Google,1,2026-06-01 03:12:54,"kenapa setiap kali buat pin selalu ada notif ""kesalahan pemasangan pin"" tolong bantuannya. uang ku nyangkut udah lama ini",Negatif,kenapa setiap kali buat pin selalu ada notif kesalahan pemasangan pin tolong bantuannya uang ku nyangkut udah lama ini
Pengguna Google,5,2026-06-01 03:09:32,sangat membantu,Positif,sangat membantu
Pengguna Google,5,2026-06-01 02:57:02,"oke, pengalaman pertama pakai gojek. sangat nyaman, drivernya ramah. terimakasih gojek.👍👍👍",Positif,oke pengalaman pertama pakai gojek sangat nyaman drivernya ramah terimakasih gojek
Pengguna Google,5,2026-06-01 02:54:31,semoga kedepan promo lebih banyak,Positif,semoga kedepan promo lebih banyak
Pengguna Google,5,2026-06-01 02:39:54,murce di banding apk ojol lain worth,Positif,murce di banding apk ojol lain worth
Pengguna Google,5,2026-06-01 02:35:29,aplikasi yg sangat membantu,Positif,aplikasi yg sangat membantu
Pengguna Google,5,2026-06-01 02:28:55,Cukup membantu bagi Masyarakat yang menggunakan app gojek,Positif,cukup membantu bagi masyarakat yang menggunakan app gojek
Pengguna Google,5,2026-06-01 02:24:27,"driver selalu 3S, aplikasi jg mudah digunakan dan dimengerti pengguna",Positif,driver selalu s aplikasi jg mudah digunakan dan dimengerti pengguna
Pengguna Google,1,2026-06-01 02:15:39,"aplikasi gaje mesen gojek pencet sekali doang malah kepesen 2 driver, ngerjain ojol aja kasian tau ga tolong dbenerin lah biaya jadi bayar dua kali kan, udah berapa kali ini kejadian kaya begini dialamin sama saya",Negatif,aplikasi gaje mesen gojek pencet sekali doang malah kepesen driver ngerjain ojol aja kasian tau ga tolong dbenerin lah biaya jadi bayar dua kali kan udah berapa kali ini kejadian kaya begini dialamin sama saya
